artist_name,date,popularity_score,followers,monthly_listeners,youtube_subscribers,youtube_total_views,youtube_video_count
Chef Lino,2025-09-01,4,260,323,15,233,5,1352,5
PYRO,2025-09-01,1,257,106,0,0,0,0,0
bo.wlie,2025-09-01,0,89,16,94,13782,71,595,69
Mango Blade,2025-09-01,1,180,121,0,0,0,621,9
ZACKO,2025-09-01,0,7,0,0,0,0,503,21
ARANDA,2025-09-01,0,104,6,0,0,0,1162,33
Casa 24Beats,2025-09-01,0,0,N/A,11,1448,72,0,0
Discord Server,2025-09-01,0,58,12,0,0,0,0,0
Casa 24,2025-09-02,4,516,1200,623,29124,94,1689,577
Chef Lino,2025-09-02,4,260,323,15,233,5,1350,5
PYRO,2025-09-02,1,257,110,0,0,0,0,0
bo.wlie,2025-09-02,0,89,16,94,13783,71,596,69
Mango Blade,2025-09-02,1,180,122,0,0,0,619,9
ZACKO,2025-09-02,0,7,0,0,0,0,502,21
ARANDA,2025-09-02,0,104,5,0,0,0,1164,33
Casa 24Beats,2025-09-02,0,0,N/A,11,1570,74,0,0
Discord Server,2025-09-02,0,59,18,0,0,0,0,0
Casa 24,2025-09-03,4,511,1200,623,29137,94,1689,577
Chef Lino,2025-09-03,4,260,321,15,233,5,1349,5
PYRO,2025-09-03,1,253,112,0,0,0,0,0
bo.wlie,2025-09-03,0,89,17,94,13787,71,595,69
Mango Blade,2025-09-03,1,180,122,0,0,0,620,9
ZACKO,2025-09-03,0,7,0,0,0,0,502,21
ARANDA,2025-09-03,0,104,6,0,0,0,1162,33
Casa 24Beats,2025-09-03,0,0,N/A,11,1700,76,0,0
Discord Server,2025-09-03,0,59,18,0,0,0,0,0
Casa 24,2025-09-03,4,511,1200,623,29137,94,1689,577
Chef Lino,2025-09-03,4,260,321,15,233,5,1349,5
PYRO,2025-09-03,1,253,112,0,0,0,0,0
bo.wlie,2025-09-03,0,89,17,94,13787,71,595,69
Mango Blade,2025-09-03,1,180,122,0,0,0,620,9
ZACKO,2025-09-03,0,7,0,0,0,0,502,21
ARANDA,2025-09-03,0,104,6,0,0,0,1162,33
Casa 24Beats,2025-09-03,0,0,N/A,11,1700,76,0,0
Discord Server,2025-09-03,0,59,18,0,0,0,0,0
Casa 24,2025-09-04,4,507,1200,622,29137,94,1689,577
Chef Lino,2025-09-04,4,260,314,15,233,5,1350,5
PYRO,2025-09-04,1,252,114,0,0,0,0,0
bo.wlie,2025-09-04,0,89,17,94,13788,71,595,69
Mango Blade,2025-09-04,1,180,122,0,0,0,621,9
ZACKO,2025-09-04,0,7,0,0,0,0,503,21
ARANDA,2025-09-04,0,104,6,0,0,0,1162,33
Casa 24Beats,2025-09-04,0,0,N/A,11,1819,78,0,0
Discord Server,2025-09-04,0,59,16,0,0,0,0,0
Casa 24,2025-09-05,4,503,1200,622,29137,94,1688,577
Chef Lino,2025-09-05,3,260,314,15,233,5,1350,5
PYRO,2025-09-05,1,250,113,0,0,0,0,0
bo.wlie,2025-09-05,0,88,18,94,13788,71,595,69
Mango Blade,2025-09-05,1,180,123,0,0,0,621,9
ZACKO,2025-09-05,0,7,0,0,0,0,505,21
ARANDA,2025-09-05,0,103,7,0,0,0,1163,33
Casa 24Beats,2025-09-05,0,0,N/A,11,2038,80,0,0
Discord Server,2025-09-05,0,59,18,0,0,0,0,0
Casa 24,2025-09-06,4,546,1600,622,29137,94,1688,577
Chef Lino,2025-09-06,3,261,316,15,234,5,1350,5
PYRO,2025-09-06,1,249,113,0,0,0,0,0
bo.wlie,2025-09-06,0,139,17,94,13788,71,595,69
Mango Blade,2025-09-06,1,180,124,0,0,0,621,9
ZACKO,2025-09-06,0,7,0,0,0,0,505,21
ARANDA,2025-09-06,0,103,7,0,0,0,1165,33
Casa 24Beats,2025-09-06,0,0,N/A,11,2061,82,0,0
Discord Server,2025-09-06,0,59,18,0,0,0,0,0
Casa 24,2025-09-07,4,546,1600,624,29137,94,1687,577
Chef Lino,2025-09-07,4,261,316,15,234,5,1350,5
PYRO,2025-09-07,1,249,113,0,0,0,0,0
bo.wlie,2025-09-07,0,139,17,94,13789,71,595,69
Mango Blade,2025-09-07,1,180,124,0,0,0,622,9
ZACKO,2025-09-07,0,7,0,0,0,0,505,21
ARANDA,2025-09-07,0,103,7,0,0,0,1166,33
Casa 24Beats,2025-09-07,0,0,N/A,11,2192,82,0,0
Discord Server,2025-09-07,0,59,19,0,0,0,0,0
Casa 24,2025-09-08,4,546,1600,624,29138,94,1688,577
Chef Lino,2025-09-08,4,261,316,15,234,5,1350,5
PYRO,2025-09-08,1,249,113,0,0,0,0,0
bo.wlie,2025-09-08,0,139,17,94,13789,71,596,69
Mango Blade,2025-09-08,1,180,124,0,0,0,622,9
ZACKO,2025-09-08,0,7,0,0,0,0,506,21
ARANDA,2025-09-08,0,103,7,0,0,0,1165,33
Casa 24Beats,2025-09-08,0,0,N/A,11,2203,82,0,0
Discord Server,2025-09-08,0,59,18,0,0,0,0,0
Casa 24,2025-09-09,4,586,1800,624,29140,94,1688,577
